idMeal,Meal Name,Category,Area,Instructions,Ingredients,Meal Image,YouTube Link
52959,Baked salmon with fennel & tomatoes,Seafood,British,"Heat oven to 180C/fan 160C/gas 4. Trim the fronds from the fennel and set aside. Cut the fennel bulbs in half, then cut each half into 3 wedges. Cook in boiling salted water for 10 mins, then drain well. Chop the fennel fronds roughly, then mix with the parsley and lemon zest.

Spread the drained fennel over a shallow ovenproof dish, then add the tomatoes. Drizzle with olive oil, then bake for 10 mins. Nestle the salmon among the veg, sprinkle with lemon juice, then bake 15 mins more until the fish is just cooked. Scatter over the parsley and serve.","[""2 medium Fennel"", ""2 tbs chopped Parsley"", ""Juice of 1 Lemon"", ""175g Cherry Tomatoes"", ""1 tbs Olive Oil"", ""350g Salmon"", ""to serve Black Olives""]",https://www.themealdb.com/images/media/meals/1548772327.jpg,https://www.youtube.com/watch?v=xvPR2Tfw5k0
52819,Cajun spiced fish tacos,Seafood,Mexican,"Cooking in a cajun spice and cayenne pepper marinade makes this fish super succulent and flavoursome. Top with a zesty dressing and serve in a tortilla for a quick, fuss-free main that's delightfully summery.

On a large plate, mix the cajun spice and cayenne pepper with a little seasoning and use to coat the fish all over.

Heat a little oil in a frying pan, add in the fish and cook over a medium heat until golden. Reduce the heat and continue frying until the fish is cooked through, about 10 minutes. Cook in batches if you don’t have enough room in the pan.

Meanwhile, prepare the dressing by combining all the ingredients with a little seasoning.
Soften the tortillas by heating in the microwave for 5-10 seconds. Pile high with the avocado, lettuce and spring onion, add a spoonful of salsa, top with large flakes of fish and drizzle over the dressing.","[""2 tbsp cajun"", ""1 tsp cayenne pepper"", ""4 fillets white fish"", ""1 tsp vegetable oil"", ""8 flour tortilla"", ""1 sliced avocado"", ""2 shredded little gem lettuce"", ""4 shredded spring onion"", ""1 x 300ml salsa"", ""1 pot sour cream"", ""1 lemon"", ""1 clove finely chopped garlic""]",https://www.themealdb.com/images/media/meals/uvuyxu1503067369.jpg,https://www.youtube.com/watch?v=N4EdUt0Ou48
52944,Escovitch Fish,Seafood,Jamaican,"Rinse fish; rub with lemon or lime, seasoned with salt and pepper or use your favorite seasoning. I used creole seasoning. Set aside or place in the oven to keep it warm until sauce is ready.

In large skillet heat oil over medium heat, until hot, add the fish, cook each side- for about 5-7 minutes until cooked through and crispy on both sides. Remove fish and set aside. Drain oil and leave about 2-3 tablespoons of oil
Add, bay leave, garlic and ginger, stir-fry for about a minute making sure the garlic does not burn
Then add onion, bell peppers, thyme, scotch bonnet, sugar, all spice-continue stirring for about 2-3 minutes. Add vinegar, mix an adjust salt and pepper according to preference. Let it simmer for about 2 more minutes. 

Discard bay leave, thyme spring and serve over fish with a side of this bammy. You may make the sauce about 2 days in advance.","[""2 Pounds Red Snapper"", ""1/2 cup  Vegetable Oil"", ""1 clove peeled crushed Garlic"", ""1/2 tsp Ginger"", ""2 sprigs Thyme"", ""1 Bay Leaf"", ""0.5 Red Pepper"", ""0.5 Yellow Pepper"", ""1 sliced Onion"", ""1 chopped Carrots"", ""1 tbs Sugar"", ""1/2 tsp Allspice"", ""1 tsp  Worcestershire Sauce"", ""1 Scotch Bonnet"", ""1 Lime"", ""3/4 cup  Malt Vinegar"", ""pinch Pepper""]",https://www.themealdb.com/images/media/meals/1520084413.jpg,https://www.youtube.com/watch?v=nF6DOtGE6k8
53043,Fish fofos,Seafood,Portuguese,"STEP 1

Put the fish into a lidded pan and pour over enough water to cover. Bring to a simmer and gently poach for 10 minutes over a low heat with the lid on. Drain and flake the fish.

STEP 2

Put the fish, potato, green chilli, coriander, cumin, black pepper, garlic and ginger in a large bowl. Season, add the rice flour, mix well and break in 1 egg. Stir the mixture and divide into 15, then form into small logs. Break the remaining eggs into a bowl and whisk lightly. Put the breadcrumbs into another bowl. Dip each fofo in the beaten egg followed by the breadcrumb mixture. Chill for 20 minutes.

STEP 3

Heat 1cm of oil in a large frying pan over a medium heat. Fry the fofos in batches for 2 minutes on each side, turning gently to get an even golden brown colour all over. Drain on kitchen paper and repeat with the remaining fofos.

STEP 4

For the onion salad, mix together the onion, coriander and lemon juice with a pinch of salt. Serve with the fofos and mango chutney.","[""600g Haddock"", ""300g Potatoes"", ""1 chopped Green Chilli"", ""3 tbs Coriander"", ""1 tsp  Cumin Seeds"", ""1/2 tsp Pepper"", ""3 cloves Garlic"", ""2 pieces  Ginger"", ""2 tbs Flour"", ""3 Eggs"", ""75g Breadcrumbs"", ""For frying Vegetable Oil""]",https://www.themealdb.com/images/media/meals/a15wsa1614349126.jpg,https://www.youtube.com/watch?v=YXUZHK2PrV8
52802,Fish pie,Seafood,British,"01.Put the potatoes in a large pan of cold salted water and bring to the boil. Lower the heat, cover, then simmer gently for 15 minutes until tender. Drain, then return to the pan over a low heat for 30 seconds to drive off any excess water. Mash with 1 tbsp olive oil, then season.
02.Meanwhile put the milk in a large sauté pan, add the fish and bring to the boil. Remove from the heat, cover and stand for 3 minutes. Remove the fish (reserving the milk) and pat dry with kitchen paper, then gently flake into an ovenproof dish, discarding the skin and any bones.
03.Heat the remaining oil in a pan, stir in the flour and cook for 30 seconds. Gradually stir in 200-250ml of the reserved milk (discard the rest). Grate in nutmeg, season, then bubble until thick. Stir in the cream.
04.Preheat the oven to 190°C/fan170°C/gas 5. Grate the artichokes and add to the dish with the leek, prawns and herbs. Stir the lemon zest and juice into the sauce, then pour over. Mix gently with a wooden spoon.
05.Spoon the mash onto the fish mixture, then use a fork to make peaks, which will crisp and brown as it cooks. Sprinkle over the cheese, then bake for 35-40 minutes until golden and bubbling. Serve with wilted greens.","[""900g Floury Potatoes"", ""2 tbsp Olive Oil"", ""600ml Semi-skimmed Milk"", ""800g White Fish Fillets"", ""1 tbsp Plain flour"", ""Grating Nutmeg"", ""3 tbsp Double Cream"", ""200g Jerusalem Artichokes"", ""1 finely sliced Leek"", ""200g peeled raw Prawns"", ""Large handful Parsley"", ""Handful Dill"", ""Grated zest of 1 Lemon"", ""25g grated Gruy\u00e8re"", ""Juice of 1 Lemon""]",https://www.themealdb.com/images/media/meals/ysxwuq1487323065.jpg,https://www.youtube.com/watch?v=2sX4fCgg-UI
53079,Fish Soup (Ukha),Seafood,Russian,"In a medium pot, heat the olive oil over medium-high heat. Add the onions and cook, stirring occasionally until the onions start to caramelize. Add the carrots and cook until the carrots start to soften, about 4 more minutes.
Add the stock, water, potatoes, bay leaves, and black peppercorns. Season with salt and bring to a boil. Reduce heat, cover and cook for 10 minutes. Add the millet and cook for 15 more minutes until millet and potatoes are cooked.
Gently add the fish cubes. Stir and bring the soup to a simmer. The fish will cook through very fast, so make sure to not overcook them. They are done when the flesh is opaque and flakes easily.
Garnish the soup with chopped fresh dill or parsley before serving.","[""2 tbs Olive Oil"", ""1 sliced Onion"", ""2 medium Carrots"", ""3 cups  Fish Stock"", ""3 cups  Water"", ""4 large Potatoes"", ""3 Bay Leaf"", ""1 Cod"", ""1 Salmon""]",https://www.themealdb.com/images/media/meals/7n8su21699013057.jpg,https://www.youtube.com/watch?v=cS3Yn-y5uVg
52918,Fish Stew with Rouille,Seafood,French,"Twist the heads from the prawns, then peel away the legs and shells, but leave the tails intact. Devein each prawn. Fry the shells in 1 tbsp oil for 5 mins, until dark pink and golden in patches. Add the wine, boil down by two thirds, then pour in the stock. Strain into a jug, discarding the shells.
Heat the rest of the oil in a deep frying pan or casserole. Add the fennel, onion and garlic, season, then cover and gently cook for 10 mins until softened. Meanwhile, peel the potato and cut into 2cm-ish chunks. Put into a pan of cold water, bring to the boil and cook for 5 mins until almost tender. Drain in a colander.
Peel a strip of zest from the orange. Put the zest, star anise, bay and ½ tsp harissa into the pan. Fry gently, uncovered, for 5-10 mins, until the vegetables are soft, sweet and golden.
Stir in the tomato purée, cook for 2 mins, then add the tomatoes and stock. Simmer for 10 mins until the sauce thickens slightly. Season to taste. The sauce can be made ahead, then reheated later in the day. Meantime, scrub the mussels or clams and pull away any stringy beards. Any that are open should be tapped sharply on the worktop – if they don’t close after a few seconds, discard them.
Reheat the sauce if necessary, then stir the potato, chunks of fish and prawns very gently into the stew. Bring back to the boil, then cover and gently simmer for 3 mins. Scatter the mussels or clams over the stew, then cover and cook for 2 mins more or until the shells have opened wide. Discard any that remain closed. The chunks of fish should flake easily and the prawns should be pink through. Scatter with the thyme leaves.
To make the quick rouille, stir the rest of the harissa through the mayonnaise. Serve the stew in bowls, topped with spoonfuls of rouille, which will melt into the sauce and enrich it. Have some good bread ready, as you’ll definitely want to mop up the juices.","[""6 large Prawns"", ""3 tbs Olive Oil"", ""150ml Dry White Wine"", ""200ml Fish Stock"", ""1 small finely diced Fennel"", ""1 small finely diced Onion"", ""3 cloves Chopped Garlic"", ""1 large Potatoes"", ""1 Orange"", ""1 Star Anise"", ""1 Bay Leaf"", ""1 1/2 tsp  Harissa Spice"", ""2 tbs Tomato Puree"", ""400g Chopped Tomatoes"", ""Handful Mussels"", ""200g White Fish"", ""2 Thyme"", ""to serve Bread""]",https://www.themealdb.com/images/media/meals/vptqpw1511798500.jpg,https://www.youtube.com/watch?v=fp9Lqx2EUco
52764,Garides Saganaki,Seafood,Greek,"Place the prawns in a pot and add enough water to cover. Boil for 5 minutes. Drain, reserving the liquid, and set aside.
Heat 2 tablespoons of oil in a saucepan. Add the onion; cook and stir until soft. Mix in the parsley, wine, tomatoes, garlic and remaining olive oil. Simmer, stirring occasionally, for about 30 minutes, or until the sauce is thickened.
While the sauce is simmering, the prawns should become cool enough to handle. First remove the legs by pinching them, and then pull off the shells, leaving the head and tail on.
When the sauce has thickened, stir in the prawns. Bring to a simmer again if the sauce has cooled with the prawns, and cook for about 5 minutes. Add the feta and remove from the heat. Let stand until the cheese starts to melt. Serve warm with slices of crusty bread.
Though completely untraditional, you can add a few tablespoons of stock or passata to this recipe to make a delicious pasta sauce. Toss with pasta after adding the feta, and serve.","[""500g Raw king prawns"", ""3 tablespoons Olive oil"", ""1 Chopped onion"", ""pinch Freshly chopped parsley"", ""250ml White wine"", ""1 (400g) tin Chopped tomatoes"", ""1/2 teaspoon Minced garlic"", ""1 (200g) pack Cubed Feta cheese""]",https://www.themealdb.com/images/media/meals/wuvryu1468232995.jpg,https://www.youtube.com/watch?v=uO0ejc85zSE
53041,Grilled Portuguese sardines,Seafood,Portuguese,"STEP 1

Put all of the ingredients, except the sardines, into a bowl and mix together with some seasoning. Pour into a baking dish, add the sardines and toss really well. Cover and chill for a few hours.

STEP 2

Heat a BBQ or griddle pan until hot. Cook the sardines for 4-5 minutes on each side or until really caramelised and charred. Put onto a serving plate, drizzle with oil, sprinkle with a little more paprika and squeeze over the lemon wedges.","[""8 Sardines"", ""2 tbs Olive Oil"", ""3 cloves Garlic"", ""1 tbs Paprika"", ""1/2  Lemon"", ""4 sprigs Rosemary"", ""1 Red Chilli""]",https://www.themealdb.com/images/media/meals/lpd4wy1614347943.jpg,https://www.youtube.com/watch?v=JYtMjKa6cdY
52773,Honey Teriyaki Salmon,Seafood,Japanese,"Mix all the ingredients in the Honey Teriyaki Glaze together. Whisk to blend well. Combine the salmon and the Glaze together.

Heat up a skillet on medium-low heat. Add the oil, Pan-fry the salmon on both sides until it’s completely cooked inside and the glaze thickens.

Garnish with sesame and serve immediately.","[""1 lb Salmon"", ""1 tablespoon Olive oil"", ""2 tablespoons Soy Sauce"", ""2 tablespoons Sake"", ""4 tablespoons Sesame Seed""]",https://www.themealdb.com/images/media/meals/xxyupu1468262513.jpg,https://www.youtube.com/watch?v=4MpYuaJsvRw
